features,likelihoods,n_points,overlap,range_lik,e_tau,has_mean,has_range
"day: mean; night: mean, range",mean=student_t; range=zero_inflated_beta,24,0.5,zero_inflated_beta,2.417172069434784,True,True
"day: mean; night: mean, range",mean=student_t; range=beta_constrained,12,0.0,beta_constrained,6.254049717324004,True,True
"day: mean; night: mean, range",mean=student_t; range=interval_inflated_beta,12,0.5,interval_inflated_beta,5.438157432504589,True,True
"day: mean; night: mean, range",mean=student_t; range=beta_constrained,12,0.5,beta_constrained,2.162652347728089,True,True
daily: range,range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.0006302635102253,False,True
"daily: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.1123930496335834,True,True
daily: range,range=zero_inflated_beta,24,0.5,zero_inflated_beta,4.187933196631287,False,True
daily: range; day: range,range=zero_inflated_beta,24,0.0,zero_inflated_beta,4.453217226778272,False,True
"daily: mean, range",mean=skew_normal; range=beta,24,0.0,beta,5.875125727281628,True,True
"daily: mean, range",mean=student_t; range=beta,24,0.0,beta,5.05359794628157,True,True
"daily: mean, range; day: range",mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,6.996678853635495,True,True
daily: range,range=beta_constrained,24,0.0,beta_constrained,2.271796354251135,False,True
"daily: mean, range; day: range",mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,4.499890329539367,True,True
daily: range,range=interval_inflated_beta,24,0.0,interval_inflated_beta,4.820669442187036,False,True
daily: range; day: range,range=zero_inflated_beta,24,0.25,zero_inflated_beta,3.088058467663274,False,True
"daily: mean, range",mean=skew_normal; range=zero_inflated_beta,24,0.25,zero_inflated_beta,5.7947064233580665,True,True
"daily: mean, range",mean=student_t; range=interval_inflated_beta,24,0.0,interval_inflated_beta,6.575067940962756,True,True
"daily: mean, range; night: range",mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.000000000000033,True,True
"daily: mean, range; night: range",mean=skew_normal; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.0000000001153184,True,True
"daily: mean, range",mean=student_t; range=beta_constrained,24,0.0,beta_constrained,3.6705093253415257,True,True
"daily: mean, range",mean=skew_normal; range=interval_inflated_beta,24,0.0,interval_inflated_beta,6.549037185381954,True,True
daily: range,range=interval_inflated_beta,24,0.5,interval_inflated_beta,7.001247452567216,False,True
"daily: mean, range",mean=skew_normal; range=beta_constrained,24,0.0,beta_constrained,3.831598276547331,True,True
daily: range; day: range,range=beta,24,0.0,beta,5.750006876122133,False,True
daily: range; night: mean,mean=student_t; range=zero_inflated_beta,24,0.0,zero_inflated_beta,2.0003923671257016,True,True
daily: range,range=interval_inflated_beta,24,0.25,interval_inflated_beta,5.69912406397455,False,True
"daily: mean, range; day: range",mean=skew_normal; range=beta,24,0.0,beta,6.736858661167576,True,True
